# Tools/apidoc_secrets.txt -- GENERATED, do not edit by hand.
#
# Source: the client's own APIDocumentation, exported by
# Tools/APIDump and converted by Tools/apidoc_import.py.
# Regenerate after every content patch.
#
#   H | build | interface | generated
#   F | function            | secret return aspects | structures with secret fields
#   A | function            | secret argument policy | aspects added
#   X | function            | forbidden aspects checked (argument)
#   S | structure | field   | ConditionalSecret,NeverSecret,...
#
# Only F records taint a value in Tools/lint_secret_values.py.
# The rest are recorded so the file stays useful as the linter grows.

H|12.1.0|120100|2026-09-13
A|AbbreviateLargeNumbers|AllowedWhenTainted|
A|AbbreviateNumbers|AllowedWhenTainted|
A|AddAccessRestrictions|NotAllowed|
A|AddBreakpoint|AllowedWhenUntainted|
A|AddBreakpoint|AllowedWhenUntainted|
A|AddCharacterLight|AllowedWhenUntainted|
A|AddFontStrings|AllowedWhenUntainted|
A|AddForbiddenAspects|NotAllowed|
A|AddHistoryLine|AllowedWhenUntainted|
A|AddLight|AllowedWhenUntainted|
A|AddMaskTexture|AllowedWhenUntainted|
A|AddMessage|AllowedWhenUntainted|
A|AddPetLight|AllowedWhenUntainted|
A|AddPoint|AllowedWhenUntainted|
A|AddPoint|AllowedWhenUntainted|
A|AddRoleset|AllowedWhenUntainted|
A|AddSecretAspect|AllowedWhenUntainted|
A|AddSourceLocationExclude|AllowedWhenUntainted|
A|AddUnit|AllowedWhenUntainted|
A|AdjustPointsOffset|AllowedWhenUntainted|
A|AdvanceTime|AllowedWhenUntainted|
A|Ambiguate|AllowedWhenTainted|
A|ApplySnapshot|AllowedWhenUntainted|
A|ApplySpellVisualKit|AllowedWhenUntainted|
A|Assign|AllowedWhenUntainted|
A|Assign|AllowedWhenUntainted|
A|AssistUnit|AllowedWhenUntainted|
A|AttachToMount|AllowedWhenUntainted|
A|BreakUpLargeNumbers|AllowedWhenTainted|
A|C_AccountInfo.GetIDFromBattleNetAccountGUID|AllowedWhenUntainted|
A|C_AccountInfo.IsGUIDBattleNetAccountType|AllowedWhenUntainted|
A|C_AccountInfo.IsGUIDRelatedToLocalAccount|AllowedWhenUntainted|
A|C_AccountStore.BeginPurchase|AllowedWhenUntainted|
A|C_AccountStore.GetCategories|AllowedWhenUntainted|
A|C_AccountStore.GetCategoryInfo|AllowedWhenUntainted|
A|C_AccountStore.GetCategoryItems|AllowedWhenUntainted|
A|C_AccountStore.GetCurrencyAvailable|AllowedWhenUntainted|
A|C_AccountStore.GetCurrencyIDForStore|AllowedWhenUntainted|
A|C_AccountStore.GetCurrencyInfo|AllowedWhenUntainted|
A|C_AccountStore.GetItemInfo|AllowedWhenUntainted|
A|C_AccountStore.GetStoreFrontState|AllowedWhenUntainted|
A|C_AccountStore.RefundItem|AllowedWhenUntainted|
A|C_AccountStore.RequestStoreFrontInfoUpdate|AllowedWhenUntainted|
A|C_AchievementInfo.GetRewardItemID|AllowedWhenUntainted|
A|C_AchievementInfo.GetSupercedingAchievements|AllowedWhenUntainted|
A|C_AchievementInfo.IsGuildAchievement|AllowedWhenUntainted|
A|C_AchievementInfo.IsValidAchievement|AllowedWhenUntainted|
A|C_AchievementInfo.SetPortraitTexture|AllowedWhenUntainted|
A|C_AchievementTelemetry.LinkAchievementInClub|AllowedWhenUntainted|
A|C_AchievementTelemetry.LinkAchievementInWhisper|AllowedWhenUntainted|
A|C_ActionBar.EnableActionRangeCheck|AllowedWhenUntainted|
A|C_ActionBar.FindFlyoutActionButtons|AllowedWhenUntainted|
A|C_ActionBar.FindPetActionButtons|AllowedWhenUntainted|
A|C_ActionBar.FindSpellActionButtons|AllowedWhenTainted|
A|C_ActionBar.ForceUpdateAction|AllowedWhenUntainted|
A|C_ActionBar.GetActionAutocast|AllowedWhenUntainted|
A|C_ActionBar.GetActionChargeDuration|AllowedWhenUntainted|
A|C_ActionBar.GetActionCharges|AllowedWhenUntainted|
A|C_ActionBar.GetActionCooldownDuration|AllowedWhenUntainted|
A|C_ActionBar.GetActionCooldown|AllowedWhenUntainted|
A|C_ActionBar.GetActionDisplayCount|AllowedWhenUntainted|
A|C_ActionBar.GetActionLossOfControlCooldownDuration|AllowedWhenUntainted|
A|C_ActionBar.GetActionLossOfControlCooldownInfo|AllowedWhenUntainted|
A|C_ActionBar.GetActionTexture|AllowedWhenUntainted|
A|C_ActionBar.GetActionText|AllowedWhenUntainted|
A|C_ActionBar.GetActionUseCount|AllowedWhenUntainted|
A|C_ActionBar.GetBonusBarIndexForSlot|AllowedWhenUntainted|
A|C_ActionBar.GetItemActionOnEquipSpellID|AllowedWhenUntainted|
A|C_ActionBar.GetPetActionPetBarIndices|AllowedWhenUntainted|
A|C_ActionBar.GetProfessionQualityInfo|AllowedWhenUntainted|
A|C_ActionBar.GetProfessionQuality|AllowedWhenUntainted|
A|C_ActionBar.GetSpell|AllowedWhenUntainted|
A|C_ActionBar.HasAction|AllowedWhenUntainted|
A|C_ActionBar.HasFlyoutActionButtons|AllowedWhenUntainted|
A|C_ActionBar.HasPetActionButtons|AllowedWhenUntainted|
A|C_ActionBar.HasPetActionPetBarIndices|AllowedWhenUntainted|
A|C_ActionBar.HasRangeRequirements|AllowedWhenUntainted|
A|C_ActionBar.HasSpellActionButtons|AllowedWhenTainted|
A|C_ActionBar.IsActionInRange|AllowedWhenUntainted|
A|C_ActionBar.IsAssistedCombatAction|AllowedWhenUntainted|
A|C_ActionBar.IsAttackAction|AllowedWhenUntainted|
A|C_ActionBar.IsAutoCastPetAction|AllowedWhenUntainted|
A|C_ActionBar.IsAutoRepeatAction|AllowedWhenUntainted|
A|C_ActionBar.IsConsumableAction|AllowedWhenUntainted|
A|C_ActionBar.IsCurrentAction|AllowedWhenUntainted|
A|C_ActionBar.IsEnabledAutoCastPetAction|AllowedWhenUntainted|
A|C_ActionBar.IsEquippedAction|AllowedWhenUntainted|
A|C_ActionBar.IsEquippedGearOutfitAction|AllowedWhenUntainted|
A|C_ActionBar.IsHarmfulAction|AllowedWhenUntainted|
A|C_ActionBar.IsHelpfulAction|AllowedWhenUntainted|
A|C_ActionBar.IsInterruptAction|AllowedWhenUntainted|
A|C_ActionBar.IsItemAction|AllowedWhenUntainted|
A|C_ActionBar.IsOnBarOrSpecialBar|AllowedWhenTainted|
A|C_ActionBar.IsStackableAction|AllowedWhenUntainted|
A|C_ActionBar.IsUsableAction|AllowedWhenUntainted|
A|C_ActionBar.PutActionInSlot|AllowedWhenUntainted|
A|C_ActionBar.RegisterActionUIButton|AllowedWhenUntainted|
A|C_ActionBar.SetActionBarPage|AllowedWhenUntainted|
A|C_ActionBar.ToggleAutoCastPetAction|AllowedWhenUntainted|
A|C_ActionBar.UnregisterActionUIButton|AllowedWhenUntainted|
A|C_ActionBar.UsesActionText|AllowedWhenUntainted|
A|C_AddOnProfiler.AddMeasuredCallEvent|AllowedWhenUntainted|
A|C_AddOnProfiler.AddPerformanceMessageShown|AllowedWhenUntainted|
A|C_AddOnProfiler.GetAddOnMetric|AllowedWhenUntainted|
A|C_AddOnProfiler.GetApplicationMetric|AllowedWhenUntainted|
A|C_AddOnProfiler.GetOverallMetric|AllowedWhenUntainted|
A|C_AddOnProfiler.GetTopKAddOnsForMetric|AllowedWhenUntainted|
A|C_AddOnProfiler.MeasureCall|AllowedWhenUntainted|
A|C_AddOns.DisableAddOn|AllowedWhenUntainted|
A|C_AddOns.DisableAllAddOns|AllowedWhenUntainted|
A|C_AddOns.DoesAddOnExist|AllowedWhenUntainted|
A|C_AddOns.DoesAddOnHaveLoadError|AllowedWhenUntainted|
A|C_AddOns.EnableAddOn|AllowedWhenUntainted|
A|C_AddOns.EnableAllAddOns|AllowedWhenUntainted|
